"","Team","City","State","Type","Primary.Conference","lon","lat"
"211","Huskies","Boston","Massachusetts","Private/Non-Sectarian","Colonial Athletic Association",-71.0588801,42.3600825
"215","Panthers","Cedar Falls","Iowa","State","Missouri Valley Conference",-92.4453161,42.5348993
"217","Wildcats","Evanston","Illinois","Private/Non-Sectarian","Big Ten Conference",-87.6876969,42.0450722
"218","Demons and Lady Demons","Natchitoches","Louisiana","State","Southland Conference",-93.0862749,31.7607195
"219","Fighting Irish","South Bend","Indiana","Private/Catholic","Atlantic Coast Conference",-86.2519898,41.6763545
"220","Golden Grizzlies","Rochester","Michigan","State","Horizon League",-83.1338214,42.680588
"221","Bobcats","Athens","Ohio","State","Mid-American Conference",-82.1012554,39.3292396
"223","Sooners","Norman","Oklahoma","State","Big 12 Conference",-97.4394777,35.2225668
"224","Cowboys and Cowgirls","Stillwater","Oklahoma","State","Big 12 Conference",-97.0583681,36.1156071
"225","Monarchs and Lady Monarchs","Norfolk","Virginia","State","Conference USA",-76.2858726,36.8507689
"174","Rebels[A 17]","Oxford","Mississippi","State","Southeastern Conference",-89.5192484,34.3664951
"188","Mavericks[A 20]","Omaha","Nebraska","State","The Summit League",-95.9979883,41.2523634
"226","Golden Eagles","Tulsa","Oklahoma","Private/Christian","The Summit League",-95.992775,36.1539816
"227","Ducks","Eugene","Oregon","State","Pac-12 Conference",-123.0867536,44.0520691
"228","Beavers","Corvallis","Oregon","State","Pac-12 Conference",-123.2620435,44.5645659
"222","Buckeyes","Columbus","Ohio","State","Big Ten Conference",-82.9987942,39.9611755
"229","Tigers","Stockton","California","Private/Methodist","West Coast Conference",-121.2907796,37.9577016
"230","Quakers","Philadelphia","Pennsylvania","Private/Non-Sectarian","Ivy League",-75.1652215,39.9525839
"231","Nittany Lions[A 23]","State College","Pennsylvania","State-related","Big Ten Conference",-77.8600012,40.7933949
"232","Waves","Malibu","California","Private/Churches of Christ","West Coast Conference",-118.7797571,34.0259216
"233","Panthers[A 24]","Pittsburgh","Pennsylvania","State-related","Atlantic Coast Conference",-79.9958864,40.4406248
"234","Pilots","Portland","Oregon","Private/Catholic","West Coast Conference",-122.6764816,45.5230622
"235","Vikings","Portland","Oregon","State","Big Sky Conference",-122.6764816,45.5230622
"237","Blue Hose","Clinton","South Carolina","Private/Presbyterian","Big South Conference",-81.8806562,34.4726276
"238","Tigers","Princeton","New Jersey","Private/Non-Sectarian","Ivy League",-74.6672226,40.3572976
"239","Friars","Providence","Rhode Island","Private/Catholic","Big East Conference",-71.4128343,41.8239891
"240","Boilermakers","West Lafayette","Indiana","State","Big Ten Conference",-86.9080655,40.4258686
"236","Panthers and Lady Panthers","Prairie View","Texas","State","Southwestern Athletic Conference",-95.9877339,30.0932737
"241","Bobcats","Hamden","Connecticut","Private/Non-Sectarian","Metro Atlantic Athletic Conference",-72.9026064,41.3838782
"242","Highlanders","Radford","Virginia","State","Big South Conference",-80.5764477,37.1317924
"244","Owls","Houston","Texas","Private/Non-Sectarian","Conference USA",-95.3698028,29.7604267
"245","Spiders","Richmond","Virginia","Private/Non-Sectarian","Atlantic 10 Conference",-77.4360481,37.5407246
"246","Broncs","Lawrenceville","New Jersey","Private/Non-Sectarian","Metro Atlantic Athletic Conference",-74.7361013,40.3016375
"247","Colonials","Moon Township","Pennsylvania","Private/Non-Sectarian","Northeast Conference",-80.2213477,40.5169767
"248","Scarlet Knights","New Brunswick","New Jersey","State-private hybrid","Big Ten Conference",-74.4518188,40.4862157
"271","Bulldogs and Lady Bulldogs","Orangeburg","South Carolina","State","Mid-Eastern Athletic Conference",-80.8556476,33.4918203
"280","Salukis","Carbondale","Illinois","State","Missouri Valley Conference",-89.2167501,37.7272727
"46","Hornets","Sacramento","California","State","Big Sky Conference",-121.4943996,38.5815719
"249","Pioneers","Fairfield","Connecticut","Private/Catholic","Northeast Conference",-73.2612615,41.1408363
"254","Hawks[A 28]","Philadelphia","Pennsylvania","Private/Catholic","Atlantic 10 Conference",-75.1652215,39.9525839
"255","Billikens","St. Louis","Missouri","Private/Catholic","Atlantic 10 Conference",-90.1994042,38.6270025
"256","Gaels","Moraga","California","Private/Catholic","West Coast Conference",-122.1296871,37.8349263
"258","Bearkats","Huntsville","Texas","State","Southland Conference",-95.5507771,30.7235263
"259","Bulldogs","Homewood","Alabama","Private/Baptist","Southern Conference",-86.8008228,33.4717732
"260","Toreros","San Diego","California","Private/Catholic","West Coast Conference",-117.1610838,32.715738
"261","Aztecs","San Diego","California","State","Mountain West Conference",-117.1610838,32.715738
"262","Dons","San Francisco","California","Private/Catholic","West Coast Conference",-122.4194155,37.7749295
"263","Spartans","San Jose","California","State","Mountain West Conference",-121.8863286,37.3382082
"264","Broncos","Santa Clara","California","Private/Catholic","West Coast Conference",-121.9552356,37.3541079
"265","Tigers and Lady Tigers","Savannah","Georgia","State","Mid-Eastern Athletic Conference",-81.0998342,32.0835407
"277","Lions and Lady Lions","Hammond","Louisiana","State","Southland Conference",-90.4611995,30.5043583
"276","Redhawks","Cape Girardeau","Missouri","State","Ohio Valley Conference",-89.5181476,37.3058839
"266","Redhawks","Seattle","Washington","Private/Catholic","Western Athletic Conference",-122.3320708,47.6062095
"267","Pirates","South Orange","New Jersey","Private/Catholic","Big East Conference",-74.2609903,40.7489277
"286","Lumberjacks and Ladyjacks","Nacogdoches","Texas","State","Southland Conference",-94.6554874,31.6035129
"268","Saints","Loudonville","New York","Private/Catholic","Metro Atlantic Athletic Conference",-73.7548424,42.7048009
"281","Cougars[A 32]","Edwardsville","Illinois","State","Ohio Valley Conference",-89.953157,38.8114364
"282","Mustangs","University Park","Texas","Private/Methodist","American Athletic Conference",-96.797592,32.8550377
"269","Jaguars","Mobile","Alabama","State","Sun Belt Conference",-88.0398912,30.6953657
"270","Gamecocks","Columbia","South Carolina","State","Southeastern Conference",-81.0348144,34.0007104
"273","Coyotes","Vermillion","South Dakota","State","The Summit League",-96.9292104,42.7794417
"274","Jackrabbits","Brookings","South Dakota","State","The Summit League",-96.7983877,44.3113573
"278","Jaguars and Lady Jaguars","Baton Rouge","Louisiana","State","Southwestern Athletic Conference",-91.1403196,30.4582829
"283","Golden Eagles","Hattiesburg","Mississippi","State","Conference USA",-89.2903392,31.3271189
"284","Thunderbirds","Cedar City","Utah","State","Big Sky Conference",-113.0618931,37.6774769
"250","Bonnies","St. Bonaventure","New York","Private/Catholic","Atlantic 10 Conference",-78.4750213,42.0803426
"251","Terriers[A 25]","Brooklyn","New York","Private/Catholic","Northeast Conference",-73.9441579,40.6781784
"252","Red Flash[A 26]","Loretto","Pennsylvania","Private/Catholic","Northeast Conference",-78.630296,40.5031263
